Physical Customers,Rank
645 Services Ltd,
A.Clarke & Co.(Smethwick)Limited,
Abbey Logistics Group Ltd,
Aggregates R US Ltd,
Autoblue,
B.J.Waters (Transport) Ltd,
B.W.O.C Limited,
Blackpool Transport Services Ltd,
Bowring Transport Ltd,
Browns Manufacturing T/A Mostell Logistics,
Cardiff City Transport Services Ltd,
Carrs Billington Agriculture (Sales) Ltd,
Chris Hayter Transport Ltd,
Churchill Freight Services Limited,
Clarendon Haulage Co. Ltd,
Craggs Energy Limited,
Damac Transporters Ltd,
Downstream Energy Ltd,
Expert Logistics Limited.,
Ford Fuel Oils Limited,
Fox Brothers (Lancashire) Ltd,
Fox Brothers (Leyland) Ltd,
Frank Ogara & Sons Limited,
Friar's Pride Ltd,
George Walker Transport Limited,
GJ Goff,
Grahams The Family Dairy Group Limited,
Greenarc Fuel Cards Ltd,
Greenarc Ltd,
H&M Distribution Ltd,
Heron Foods Ltd,
Home Hardware Scotland Ltd,
HPH Transport Holdings Ltd,
Ian Mosey Ltd,
J.W. Filshill Ltd,
JA Jackson Contractors (Preston) Limited,
Krispy Kreme U.K. Ltd,
Leeds Bradford Airport,
Longcliffe Quarries Ltd,
Lower Lane Ltd,
McBurney Transport Group Ltd,
Mitchell Potatoes Ltd,
Montgomery Transport Ltd,
New Era Fuels Ltd,
Newport Transport Ltd,
Nirva Energy Ltd,
NMS Civil Engineering Ltd,
Nolan Shared Services Ltd,
Nottingham City Transport Limited,
NWF Fuels Ltd,
Prince Petroleum Ltd,
R & R C Bond (Wholesale) Ltd,
Scotland & Bates Ltd,
T. Quality Ltd,
The AF Group Ltd,
Thomas Armstrong Aggregates Ltd,
Transport Equipment Services Ltd,
TSL Vanguard Ltd,
Warrington Borough Transport Ltd,
Whitkirk Waste Solutions Ltd,
Wixey Transport Ltd,
Your NRG Limited,
