Searched Name,Company Number,Registered Name,Confidence,Status,Confidence Level,Companies House URL,,,,,,,,,,Searched Name,Confidence,Compnay Number,Companies House Name,URL,Companies House
Penny Petroleum (Management) Ltd,07020838,PENNY PETROELEM (SCARBOROUGH) LIMITED,30%,active,Low,https://find-and-update.company-information.service.gov.uk/company/07020838,,,,,,,,,,,,,,,
Roadchef Limited,01713437,ROADCHEF LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/01713437,,,,,,,,,,,,,,,
Roadchef Limited,09166191,ROADCHEF BIDCO LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/09166191,,,,,,,,,,,,,,,
Roadchef Limited,02798467,ROADCHEF (CLACKET LANE) LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/02798467,,,,,,,,,,,,,,,
Roadchef Limited,03126587,ROADCHEF COSTA COFFEE LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/03126587,,,,,,,,,,,,,,,
Roadchef Limited,03393645,ROADCHEF (CHESTER) LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/03393645,,,,,,,,,,,,,,,
S J Bargh Ltd,00532272,S.J.BARGH LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/00532272,,,,,,,,,,,,,,,
S J Bargh Ltd,10077929,S J BARGH GROUP LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/10077929,,,,,,,,,,,,,,,
S J Bargh Ltd,SC399350,S J BARGH CONSULTANCY LTD.,28%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/SC399350,,,,,,,,,,,,,,,
Sectorsure No. 10 Limited,07924407,SECTORSURE NO. 10 LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/07924407,,,,,,,,,,,,,,,
Sectorsure No. 10 Limited,02546195,SECTORSURE LIMITED,35%,active,Low,https://find-and-update.company-information.service.gov.uk/company/02546195,,,,,,,,,,,,,,,
Tate Fuel Oils Ltd,01301975,TATE FUEL OILS LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/01301975,,,,,,,,,,,,,,,
UKIFDA Ltd,03439922,UK & IRELAND FUEL DISTRIBUTORS ASSOCIATION LIMITED,100%,active,High,https://find-and-update.company-information.service.gov.uk/company/03439922,,,,,,,,,,,,,,,
